Instance 		                 	 Solved   Time 	   Nodes Expanded   Distance	
10 12 1 3 8 5 4 0 2 11 7 9 6 13 	 True 	 0.001569 	 18910 		 13
8 5 2 4 7 11 9 12 0 6 3 10 1 13 	 True 	 0.000795 	 10481 		 12
9 1 2 0 3 5 6 12 7 11 10 8 4 13 	 True 	 0.000948 	 13169 		 12
11 6 1 0 8 12 3 9 7 10 4 5 2 13 	 True 	 0.000138 	 1821 		 11
0 11 3 1 10 8 2 7 6 5 9 12 4 13 	 True 	 0.000013 	 171 		 10
7 8 2 4 3 6 9 5 10 12 1 11 0 13 	 True 	 0.000364 	 4707 		 12
10 7 1 4 9 11 3 2 8 12 0 5 6 13 	 True 	 0.000050 	 669 		 10
6 4 12 2 7 11 9 5 3 10 1 8 0 13 	 True 	 0.000285 	 3814 		 12
2 7 8 5 12 9 0 4 10 6 3 11 1 13 	 True 	 0.000095 	 1228 		 12
11 8 4 6 2 0 12 5 7 3 9 10 1 13 	 True 	 0.000439 	 5731 		 12
0 1 4 9 5 3 12 6 8 11 7 2 10 13 	 True 	 0.000195 	 2474 		 12
8 0 6 4 10 2 12 7 9 5 1 11 3 13 	 True 	 0.000444 	 6016 		 12
2 5 6 3 8 9 4 1 10 11 12 0 7 13 	 True 	 0.001742 	 24541 		 12
7 2 10 8 1 6 11 3 4 9 12 0 5 13 	 True 	 0.001953 	 26537 		 13
4 12 9 1 3 11 0 10 6 7 2 8 5 13 	 True 	 0.000336 	 4552 		 12
12 11 2 6 1 5 9 8 4 0 10 3 7 13 	 True 	 0.000024 	 299 		 10
9 11 10 5 0 6 7 8 12 4 3 2 1 13 	 True 	 0.000042 	 567 		 10
5 12 11 3 10 4 9 6 8 2 7 1 0 13 	 True 	 0.000197 	 2496 		 12
7 9 0 5 10 11 6 3 1 2 12 8 4 13 	 True 	 0.001299 	 16459 		 12
6 2 10 7 1 11 0 5 4 9 8 12 3 13 	 True 	 0.000245 	 3302 		 12
11 2 7 8 1 4 12 0 6 10 3 9 5 13 	 True 	 0.000120 	 1442 		 12
7 4 1 11 0 10 3 2 9 8 5 6 12 13 	 True 	 0.000003 	 39 		 10
8 1 5 9 3 0 11 12 7 10 2 6 4 13 	 True 	 0.001718 	 23368 		 13
11 2 5 12 9 8 1 7 6 4 3 10 0 13 	 True 	 0.000083 	 1083 		 11
1 9 12 4 3 11 0 2 7 6 10 8 5 13 	 True 	 0.000210 	 2968 		 11
12 11 2 5 3 4 9 8 7 6 1 10 0 13 	 True 	 0.000043 	 574 		 10
4 9 5 12 8 3 0 7 2 1 10 6 11 13 	 True 	 0.000857 	 11321 		 12
0 6 2 3 5 1 8 10 11 12 4 9 7 13 	 True 	 0.000141 	 1936 		 11
5 12 1 10 9 3 2 11 7 6 4 0 8 13 	 True 	 0.000086 	 1114 		 11
4 12 1 2 3 5 9 8 6 7 0 11 10 13 	 True 	 0.000012 	 157 		 9
10 3 6 12 7 11 1 9 0 5 8 4 2 13 	 True 	 0.000414 	 5353 		 12
8 5 10 6 1 12 4 11 7 2 9 0 3 13 	 True 	 0.000372 	 4561 		 12
3 12 9 4 6 10 0 5 8 7 11 2 1 13 	 True 	 0.000020 	 246 		 11
5 1 7 2 10 11 6 9 3 8 12 4 0 13 	 True 	 0.000015 	 173 		 11
