Please enter a test file followed by ENTER: Instance 			 Solved   Time 	   Nodes Expanded   Distance	
0 6 5 4 11 8 7 1 12 14 2 15 10 13 9 3 16 	 True 	 0.000115 	 2400 		 11
15 7 10 9 13 14 1 0 3 2 5 4 11 6 8 12 16 	 True 	 0.000001 	 23 		 7
12 2 11 0 15 10 1 3 4 5 14 13 6 7 8 9 16 	 True 	 0.000002 	 34 		 9
2 7 6 5 1 8 4 10 9 14 13 12 3 11 0 15 16 	 True 	 0.006869 	 142042 		 13
6 15 14 4 12 13 9 7 10 3 8 11 0 5 1 2 16 	 True 	 0.009322 	 165412 		 13
13 0 1 15 14 2 6 5 4 3 7 10 9 8 12 11 16 	 True 	 0.000003 	 42 		 7
12 4 0 5 2 1 6 8 13 14 7 11 3 10 9 15 16 	 True 	 0.017138 	 267804 		 13
3 13 4 0 14 15 8 5 12 1 7 11 10 9 6 2 16 	 True 	 0.004586 	 69174 		 13
2 9 10 3 4 0 7 6 5 1 8 12 11 14 13 15 16 	 True 	 0.000007 	 105 		 7
6 5 14 10 15 1 12 0 8 4 9 2 11 7 13 3 16 	 True 	 0.002025 	 29189 		 13
11 0 1 2 15 4 5 8 9 10 6 7 12 13 14 3 16 	 True 	 0.000139 	 2104 		 9
15 10 7 8 6 9 13 14 1 0 3 2 5 4 11 12 16 	 True 	 0.000004 	 67 		 8
12 2 5 13 1 6 7 3 15 0 8 10 9 4 14 11 16 	 True 	 0.249781 	 2503187 		 15
8 15 14 4 9 13 11 7 12 0 6 10 3 5 2 1 16 	 True 	 0.471441 	 6135506 		 15
11 10 15 14 13 9 1 0 2 6 5 12 7 3 4 8 16 	 True 	 0.001845 	 26543 		 12
4 6 5 13 0 15 14 9 7 2 1 10 11 3 12 8 16 	 True 	 0.073974 	 900733 		 14
1 13 6 2 3 15 8 5 4 14 9 11 10 7 12 0 16 	 True 	 0.003658 	 42936 		 12
10 14 5 6 15 1 12 0 8 4 9 13 3 2 11 7 16 	 True 	 0.008046 	 84512 		 14
0 1 2 3 11 12 8 9 10 13 4 15 14 6 5 7 16 	 True 	 0.010127 	 118049 		 12
4 14 9 5 6 12 13 0 15 8 3 10 1 7 2 11 16 	 True 	 0.031535 	 378879 		 14
13 4 0 8 2 1 15 3 7 14 12 6 10 9 5 11 16 	 True 	 0.904019 	 11001275 		 15
15 4 5 12 11 10 7 8 14 13 9 6 1 0 3 2 16 	 True 	 0.002002 	 31686 		 11
1 10 6 2 5 9 3 7 12 13 14 8 0 11 4 15 16 	 True 	 0.009421 	 121614 		 13
2 15 6 5 10 13 12 1 14 4 7 9 3 11 8 0 16 	 True 	 0.182940 	 2142795 		 15
8 3 7 12 1 2 4 6 11 0 13 5 15 10 9 14 16 	 True 	 1.439042 	 17302287 		 16
1 7 3 14 15 8 5 0 13 9 11 2 12 6 10 4 16 	 True 	 0.118957 	 1428251 		 14
6 7 12 9 0 4 15 14 11 3 8 13 2 1 10 5 16 	 True 	 0.110638 	 1595735 		 14
3 11 0 1 2 12 5 9 10 13 4 15 14 7 8 6 16 	 True 	 0.008547 	 125137 		 13
1 7 4 11 3 14 9 5 6 12 13 0 15 8 2 10 16 	 True 	 0.283181 	 3237652 		 15
15 4 13 9 8 0 12 6 5 3 10 14 11 7 2 1 16 	 True 	 0.041232 	 466925 		 14
1 11 8 15 10 0 3 14 2 7 6 9 13 12 5 4 16 	 True 	 0.102706 	 1212711 		 14
15 4 5 12 11 10 14 13 9 7 8 6 1 0 3 2 16 	 True 	 0.035695 	 451237 		 13
9 8 4 15 3 7 5 2 10 12 0 6 14 13 11 1 16 	 True 	 0.240109 	 3119467 		 15
5 4 3 0 1 2 12 14 10 6 8 11 7 13 15 9 16 	 True 	 0.003580 	 30680 		 12
0 2 12 9 15 13 8 6 1 3 11 7 14 4 10 5 16 	 True 	 0.436869 	 5042209 		 15
2 6 13 15 8 9 14 4 5 12 7 10 1 3 11 0 16 	 True 	 0.348574 	 3576204 		 15
1 4 3 9 0 15 2 7 13 6 11 12 14 8 10 5 16 	 True 	 0.545953 	 6142010 		 15
3 8 2 4 0 6 14 7 12 10 15 11 9 1 5 13 16 	 True 	 3.337098 	 30108675 		 16
1 7 6 11 4 5 15 3 10 2 0 9 13 12 8 14 16 	 True 	 0.657729 	 5858131 		 15
9 12 5 0 11 13 10 14 15 4 3 6 7 8 2 1 16 	 True 	 0.134014 	 1150329 		 14
2 4 8 0 7 10 9 5 6 13 14 15 11 12 1 3 16 	 True 	 0.000306 	 3726 		 10
