Instance 			         Solved   Time 	   Nodes Expanded   Distance	
10 9 5 2 3 8 4 0 1 6 7 11 	 True 	 0.000000 	 4 		 4
6 7 10 9 1 5 4 3 2 8 0 11 	 True 	 0.000001 	 4 		 4
0 1 6 7 4 8 3 2 5 9 10 11 	 True 	 0.000000 	 4 		 4
7 6 5 1 2 9 10 0 8 3 4 11 	 True 	 0.000000 	 4 		 4
10 6 7 0 3 4 5 1 2 9 8 11 	 True 	 0.000000 	 4 		 4
3 2 8 4 0 1 9 5 6 7 10 11 	 True 	 0.000000 	 4 		 4
0 9 7 6 5 4 8 1 2 10 3 11 	 True 	 0.000000 	 4 		 4
7 6 9 5 2 3 8 4 0 1 10 11 	 True 	 0.000001 	 5 		 5
0 1 4 5 6 10 9 8 7 2 3 11 	 True 	 0.000000 	 3 		 3
5 4 10 9 1 6 7 3 2 8 0 11 	 True 	 0.000001 	 5 		 5
10 9 5 0 1 6 7 4 8 3 2 11 	 True 	 0.000000 	 5 		 5
10 9 1 5 4 8 6 2 3 0 7 11 	 True 	 0.000001 	 5 		 5
0 8 9 10 4 5 6 3 2 1 7 11 	 True 	 0.000000 	 5 		 5
0 9 7 6 2 3 8 1 5 10 4 11 	 True 	 0.000001 	 5 		 5
10 1 9 4 3 2 5 0 8 7 6 11 	 True 	 0.000000 	 5 		 5
4 6 1 2 3 5 9 8 10 7 0 11 	 True 	 0.000001 	 5 		 5
5 2 3 8 4 0 1 10 9 6 7 11 	 True 	 0.000001 	 6 		 6
0 8 1 10 9 4 3 2 7 6 5 11 	 True 	 0.000001 	 4 		 4
10 2 8 7 5 6 4 3 9 1 0 11 	 True 	 0.000000 	 6 		 6
7 6 9 2 1 5 3 8 0 10 4 11 	 True 	 0.000001 	 6 		 6
0 8 5 4 10 9 6 3 2 1 7 11 	 True 	 0.000000 	 6 		 6
3 6 7 9 10 5 4 8 1 2 0 11 	 True 	 0.000001 	 6 		 6
0 3 4 5 2 8 9 1 6 10 7 11 	 True 	 0.000001 	 6 		 6
2 3 9 0 6 10 4 5 1 8 7 11 	 True 	 0.000001 	 6 		 6
10 9 1 2 3 4 8 7 6 5 0 11 	 True 	 0.000000 	 2 		 2
5 2 3 8 4 9 10 1 0 6 7 11 	 True 	 0.000001 	 7 		 7
10 9 1 2 3 6 7 8 4 5 0 11 	 True 	 0.000000 	 3 		 3
5 1 10 9 2 7 6 4 3 8 0 11 	 True 	 0.000001 	 7 		 7
2 3 8 1 5 9 10 0 6 4 7 11 	 True 	 0.000001 	 7 		 7
0 7 6 10 3 2 9 4 5 1 8 11 	 True 	 0.000001 	 7 		 7
4 6 7 9 10 2 3 8 1 5 0 11 	 True 	 0.000001 	 7 		 7
0 3 4 5 2 8 9 7 10 6 1 11 	 True 	 0.000001 	 7 		 7
0 8 3 2 6 1 5 4 7 9 10 11 	 True 	 0.000001 	 7 		 7
10 9 4 0 1 2 5 6 7 8 3 11 	 True 	 0.000000 	 3 		 3
3 9 8 7 2 5 4 0 1 6 10 11 	 True 	 0.000001 	 5 		 5
10 3 2 1 5 6 7 9 4 8 0 11 	 True 	 0.000000 	 4 		 4
6 7 4 3 1 2 9 10 5 8 0 11 	 True 	 0.000001 	 9 		 8
4 10 0 7 1 2 9 6 5 3 8 11 	 True 	 0.000001 	 8 		 8
3 7 5 9 1 0 6 2 8 10 4 11 	 True 	 0.000001 	 8 		 8
10 1 9 4 2 7 8 3 5 0 6 11 	 True 	 0.000001 	 8 		 8
0 9 3 2 6 1 5 4 10 8 7 11 	 True 	 0.000001 	 9 		 8
0 4 9 10 1 2 5 6 7 8 3 11 	 True 	 0.000000 	 4 		 4
0 2 3 10 6 9 8 7 1 5 4 11 	 True 	 0.000001 	 6 		 6
6 1 2 3 10 7 8 5 9 4 0 11 	 True 	 0.000000 	 6 		 6
5 2 3 8 10 1 0 4 9 6 7 11 	 True 	 0.000001 	 7 		 7
10 7 9 0 8 3 2 1 6 5 4 11 	 True 	 0.000001 	 6 		 5
3 4 6 0 1 8 2 10 9 7 5 11 	 True 	 0.000001 	 7 		 7
0 7 2 6 10 3 9 5 4 1 8 11 	 True 	 0.000002 	 17 		 9
3 9 10 5 6 7 4 0 2 1 8 11 	 True 	 0.000001 	 10 		 8
2 3 7 0 8 10 5 9 1 6 4 11 	 True 	 0.000002 	 14 		 9
10 9 4 3 2 1 8 7 6 5 0 11 	 True 	 0.000000 	 3 		 3
3 1 0 10 6 9 8 7 2 5 4 11 	 True 	 0.000001 	 7 		 7
0 2 3 10 7 8 5 9 4 1 6 11 	 True 	 0.000001 	 7 		 7
3 6 7 10 2 1 9 0 8 4 5 11 	 True 	 0.000009 	 53 		 9
7 6 2 3 8 10 1 0 4 9 5 11 	 True 	 0.000001 	 8 		 8
5 1 10 9 4 6 7 2 3 8 0 11 	 True 	 0.000001 	 6 		 6
2 3 9 6 1 8 7 5 0 10 4 11 	 True 	 0.000001 	 8 		 8
0 1 3 6 9 10 2 8 5 7 4 11 	 True 	 0.000006 	 34 		 9
3 5 1 9 4 2 7 8 6 0 10 11 	 True 	 0.000001 	 13 		 9
0 1 4 9 10 7 2 6 5 8 3 11 	 True 	 0.000001 	 6 		 6
4 9 8 7 5 2 3 0 1 6 10 11 	 True 	 0.000000 	 6 		 6
2 8 7 10 6 3 4 1 5 9 0 11 	 True 	 0.000001 	 8 		 8
4 7 8 0 3 2 1 10 9 5 6 11 	 True 	 0.000001 	 8 		 8
0 9 8 7 4 3 2 6 5 1 10 11 	 True 	 0.000000 	 7 		 7
7 8 3 2 6 10 1 0 4 9 5 11 	 True 	 0.000001 	 8 		 7
5 4 7 3 9 10 6 1 2 8 0 11 	 True 	 0.000001 	 7 		 7
