Instance 		         	 Solved   Time 	   Nodes Expanded   Distance	
6 9 10 5 1 0 7 8 2 4 3 11 	 True 	 0.000654 	 8782 		 36
7 4 8 3 10 6 9 2 5 0 1 11 	 True 	 0.001655 	 25814 		 45
1 3 5 6 8 2 0 4 10 7 9 11 	 True 	 0.024673 	 388718 		 56
0 8 6 5 9 1 7 3 10 4 2 11 	 True 	 0.003150 	 49176 		 45
3 4 7 9 0 2 5 6 1 8 10 11 	 True 	 0.000425 	 6799 		 36
5 1 0 9 7 3 4 6 8 10 2 11 	 True 	 0.013851 	 213034 		 53
4 7 10 2 1 9 3 0 6 5 8 11 	 True 	 0.001867 	 28884 		 44
2 10 9 4 5 1 8 7 3 6 0 11 	 True 	 0.003172 	 50558 		 44
10 6 3 8 0 2 7 9 1 4 5 11 	 True 	 0.002655 	 41677 		 44
8 7 4 3 0 5 1 6 2 9 10 11 	 True 	 0.002158 	 33535 		 44
7 4 8 3 6 10 0 5 1 9 2 11 	 True 	 0.010699 	 156251 		 54
1 7 9 4 10 8 2 6 5 0 3 11 	 True 	 0.016293 	 221524 		 55
3 6 5 7 9 4 1 8 2 10 0 11 	 True 	 0.003024 	 40517 		 45
10 4 2 3 8 6 1 7 5 9 0 11 	 True 	 0.002847 	 39507 		 44
5 0 6 4 7 9 2 10 8 3 1 11 	 True 	 0.009827 	 135629 		 54
0 5 10 3 1 9 7 8 2 6 4 11 	 True 	 0.014451 	 182707 		 53
6 9 5 1 8 2 4 10 0 3 7 11 	 True 	 0.009355 	 128695 		 53
6 7 10 9 5 3 4 1 8 0 2 11 	 True 	 0.002877 	 37171 		 45
2 9 1 6 5 10 7 8 0 3 4 11 	 True 	 0.000310 	 4163 		 36
5 10 9 7 0 1 6 8 2 4 3 11 	 True 	 0.000487 	 6881 		 36
7 3 10 0 4 1 9 2 5 8 6 11 	 True 	 0.011750 	 176292 		 54
8 4 6 9 5 7 1 3 2 0 10 11 	 True 	 0.011555 	 181065 		 53
8 2 10 6 9 5 3 4 7 1 0 11 	 True 	 0.003071 	 45303 		 44
1 8 7 3 9 2 5 0 6 4 10 11 	 True 	 0.014778 	 216539 		 54
4 10 8 5 7 0 1 6 2 3 9 11 	 True 	 0.002796 	 44172 		 44
7 1 5 0 3 10 8 6 9 4 2 11 	 True 	 0.005556 	 89256 		 51
0 10 3 9 6 5 4 2 1 7 8 11 	 True 	 0.000399 	 6367 		 35
4 2 0 7 9 1 6 5 8 10 3 11 	 True 	 0.014124 	 203490 		 53
6 1 0 9 4 2 7 10 5 8 3 11 	 True 	 0.055154 	 791961 		 59
