Instance 			         Solved   Time 	   Nodes Expanded   Distance	
10 9 4 3 2 1 8 7 6 5 0 11 	 True 	 0.000002 	 20 		 6
3 1 0 10 6 9 8 7 2 5 4 11 	 True 	 0.000091 	 1547 		 28
0 2 3 10 7 8 5 9 4 1 6 11 	 True 	 0.000086 	 1443 		 28
3 6 7 10 2 1 9 0 8 4 5 11 	 True 	 0.002043 	 31477 		 41
7 6 2 3 8 10 1 0 4 9 5 11 	 True 	 0.000640 	 10098 		 36
5 1 10 9 4 6 7 2 3 8 0 11 	 True 	 0.000019 	 255 		 21
2 3 9 6 1 8 7 5 0 10 4 11 	 True 	 0.000308 	 4756 		 36
0 1 3 6 9 10 2 8 5 7 4 11 	 True 	 0.003083 	 46220 		 44
3 5 1 9 4 2 7 8 6 0 10 11 	 True 	 0.003053 	 45184 		 45
0 1 4 9 10 7 2 6 5 8 3 11 	 True 	 0.000023 	 321 		 21
4 9 8 7 5 2 3 0 1 6 10 11 	 True 	 0.000023 	 318 		 21
2 8 7 10 6 3 4 1 5 9 0 11 	 True 	 0.000366 	 5606 		 36
4 7 8 0 3 2 1 10 9 5 6 11 	 True 	 0.000636 	 9697 		 36
0 9 8 7 4 3 2 6 5 1 10 11 	 True 	 0.000101 	 1672 		 28
7 8 3 2 6 10 1 0 4 9 5 11 	 True 	 0.000087 	 1433 		 28
5 4 7 3 9 10 6 1 2 8 0 11 	 True 	 0.000101 	 1670 		 28
5 0 10 7 1 2 9 4 8 3 6 11 	 True 	 0.002230 	 27945 		 45
4 7 10 2 9 5 3 6 1 8 0 11 	 True 	 0.010852 	 158565 		 53
0 10 3 2 9 7 5 8 1 6 4 11 	 True 	 0.003092 	 44693 		 44
7 6 4 9 10 1 2 8 3 5 0 11 	 True 	 0.000096 	 1571 		 28
1 3 4 8 9 7 10 0 2 6 5 11 	 True 	 0.000108 	 1579 		 28
10 4 9 1 2 3 0 8 7 5 6 11 	 True 	 0.000639 	 9534 		 35
10 9 8 0 5 6 2 3 4 1 7 11 	 True 	 0.000906 	 13120 		 36
0 4 3 6 10 2 9 1 7 8 5 11 	 True 	 0.002526 	 37938 		 45
5 1 7 2 4 3 9 10 6 8 0 11 	 True 	 0.000373 	 5697 		 36
7 0 5 1 4 10 3 2 9 6 8 11 	 True 	 0.001664 	 24565 		 45
3 9 10 5 7 1 2 6 4 0 8 11 	 True 	 0.002328 	 30943 		 44
