Instance 		         	 Solved   Time 	   Nodes Expanded   Distance	
3 0 1 10 6 8 2 7 5 4 9 11 	 True 	 0.000004 	 38 		 9
0 3 9 1 5 2 7 4 10 8 6 11 	 True 	 0.000005 	 47 		 10
8 3 6 1 5 2 9 7 0 4 10 11 	 True 	 0.000001 	 13 		 9
2 4 9 6 0 8 7 5 10 3 1 11 	 True 	 0.000001 	 14 		 10
7 8 5 2 10 6 3 4 1 0 9 11 	 True 	 0.000001 	 8 		 8
2 9 5 8 7 3 0 1 4 10 6 11 	 True 	 0.000001 	 11 		 9
9 0 1 6 4 7 3 8 5 2 10 11 	 True 	 0.000014 	 126 		 10
2 8 3 6 5 7 9 10 0 4 1 11 	 True 	 0.000005 	 41 		 10
7 9 6 2 8 4 0 1 3 10 5 11 	 True 	 0.000001 	 16 		 9
6 2 3 4 8 0 1 9 5 7 10 11 	 True 	 0.000001 	 15 		 8
5 3 8 7 10 1 4 0 9 6 2 11 	 True 	 0.000003 	 27 		 10
0 7 9 6 5 4 2 10 8 1 3 11 	 True 	 0.000023 	 213 		 10
2 8 6 9 0 10 4 7 5 1 3 11 	 True 	 0.000007 	 56 		 10
9 4 6 1 7 0 8 5 2 10 3 11 	 True 	 0.000025 	 225 		 11
0 1 7 9 6 8 3 10 5 4 2 11 	 True 	 0.000001 	 10 		 8
6 3 1 8 5 0 2 10 4 7 9 11 	 True 	 0.000008 	 69 		 10
8 2 7 4 9 6 5 0 3 10 1 11 	 True 	 0.000018 	 158 		 10
1 4 8 3 6 5 7 9 10 0 2 11 	 True 	 0.000012 	 111 		 10
8 1 7 3 4 0 5 9 2 10 6 11 	 True 	 0.000008 	 71 		 10
10 8 7 4 9 6 3 2 0 1 5 11 	 True 	 0.000002 	 22 		 9
10 4 3 6 5 0 7 9 1 2 8 11 	 True 	 0.000002 	 15 		 8
0 7 4 3 9 5 1 10 8 6 2 11 	 True 	 0.000001 	 9 		 8
4 3 1 5 7 0 8 6 2 9 10 11 	 True 	 0.000003 	 33 		 9
0 10 2 7 4 8 1 6 9 5 3 11 	 True 	 0.000000 	 8 		 8
3 4 7 9 0 2 5 6 8 1 10 11 	 True 	 0.000002 	 16 		 9
10 4 1 9 3 7 6 2 8 0 5 11 	 True 	 0.000001 	 9 		 8
3 0 8 1 4 6 5 9 2 7 10 11 	 True 	 0.000004 	 40 		 9
Error: invalid state entered.
