Instance 		         	 Solved   Time 	   Nodes Expanded   Distance	
8 3 0 1 4 10 9 7 5 6 2 11 	 True 	 0.001430 	 21790 		 43
10 7 4 5 6 3 1 2 9 8 0 11 	 True 	 0.000096 	 1637 		 28
3 0 1 10 6 8 2 7 5 4 9 11 	 True 	 0.002400 	 36929 		 44
0 3 9 1 5 2 7 4 10 8 6 11 	 True 	 0.012291 	 165856 		 52
8 3 6 1 5 2 9 7 0 4 10 11 	 True 	 0.003060 	 37613 		 45
2 4 9 6 0 8 7 5 10 3 1 11 	 True 	 0.009027 	 119409 		 54
7 8 5 2 10 6 3 4 1 0 9 11 	 True 	 0.000449 	 6023 		 36
2 9 5 8 7 3 0 1 4 10 6 11 	 True 	 0.001995 	 26117 		 45
9 0 1 6 4 7 3 8 5 2 10 11 	 True 	 0.019169 	 252476 		 53
2 8 3 6 5 7 9 10 0 4 1 11 	 True 	 0.011212 	 146885 		 53
7 9 6 2 8 4 0 1 3 10 5 11 	 True 	 0.002587 	 30335 		 44
6 2 3 4 8 0 1 9 5 7 10 11 	 True 	 0.000839 	 11758 		 36
5 3 8 7 10 1 4 0 9 6 2 11 	 True 	 0.016509 	 157611 		 54
0 7 9 6 5 4 2 10 8 1 3 11 	 True 	 0.038044 	 324357 		 53
2 8 6 9 0 10 4 7 5 1 3 11 	 True 	 0.017005 	 165929 		 55
9 4 6 1 7 0 8 5 2 10 3 11 	 True 	 0.082945 	 847766 		 62
0 1 7 9 6 8 3 10 5 4 2 11 	 True 	 0.000636 	 8782 		 36
6 3 1 8 5 0 2 10 4 7 9 11 	 True 	 0.023102 	 274779 		 54
8 2 7 4 9 6 5 0 3 10 1 11 	 True 	 0.020150 	 224127 		 54
1 4 8 3 6 5 7 9 10 0 2 11 	 True 	 0.017551 	 228827 		 54
8 1 7 3 4 0 5 9 2 10 6 11 	 True 	 0.011806 	 179842 		 53
10 8 7 4 9 6 3 2 0 1 5 11 	 True 	 0.002876 	 44598 		 44
10 4 3 6 5 0 7 9 1 2 8 11 	 True 	 0.000532 	 7855 		 36
0 7 4 3 9 5 1 10 8 6 2 11 	 True 	 0.000512 	 7862 		 36
4 3 1 5 7 0 8 6 2 9 10 11 	 True 	 0.002031 	 26886 		 43
0 10 2 7 4 8 1 6 9 5 3 11 	 True 	 0.000552 	 6996 		 36
3 4 7 9 0 2 5 6 8 1 10 11 	 True 	 0.003543 	 45753 		 44
10 4 1 9 3 7 6 2 8 0 5 11 	 True 	 0.000447 	 6989 		 36
3 0 8 1 4 6 5 9 2 7 10 11 	 True 	 0.003393 	 49399 		 45
