Instance 	          		 Solved   Time 	   Nodes Expanded   Distance	
1 3 5 6 8 2 0 4 10 7 9 11 	 True 	 0.000023 	 343 		 11
0 8 6 5 9 1 7 3 10 4 2 11 	 True 	 0.000001 	 17 		 9
3 4 7 9 0 2 5 6 1 8 10 11 	 True 	 0.000000 	 10 		 8
5 1 0 9 7 3 4 6 8 10 2 11 	 True 	 0.000002 	 34 		 10
4 7 10 2 1 9 3 0 6 5 8 11 	 True 	 0.000001 	 14 		 9
2 10 9 4 5 1 8 7 3 6 0 11 	 True 	 0.000001 	 14 		 9
10 6 3 8 0 2 7 9 1 4 5 11 	 True 	 0.000002 	 30 		 9
8 7 4 3 0 5 1 6 2 9 10 11 	 True 	 0.000002 	 19 		 9
7 4 8 3 6 10 0 5 1 9 2 11 	 True 	 0.000003 	 44 		 10
1 7 9 4 10 8 2 6 5 0 3 11 	 True 	 0.000002 	 39 		 10
3 6 5 7 9 4 1 8 2 10 0 11 	 True 	 0.000001 	 15 		 9
10 4 2 3 8 6 1 7 5 9 0 11 	 True 	 0.000002 	 26 		 9
5 0 6 4 7 9 2 10 8 3 1 11 	 True 	 0.000004 	 54 		 10
0 5 10 3 1 9 7 8 2 6 4 11 	 True 	 0.000005 	 70 		 10
6 9 5 1 8 2 4 10 0 3 7 11 	 True 	 0.000005 	 68 		 10
6 7 10 9 5 3 4 1 8 0 2 11 	 True 	 0.000001 	 12 		 9
2 9 1 6 5 10 7 8 0 3 4 11 	 True 	 0.000000 	 8 		 8
5 10 9 7 0 1 6 8 2 4 3 11 	 True 	 0.000000 	 9 		 8
7 3 10 0 4 1 9 2 5 8 6 11 	 True 	 0.000006 	 81 		 10
8 4 6 9 5 7 1 3 2 0 10 11 	 True 	 0.000006 	 90 		 10
8 2 10 6 9 5 3 4 7 1 0 11 	 True 	 0.000002 	 33 		 9
1 8 7 3 9 2 5 0 6 4 10 11 	 True 	 0.000012 	 175 		 10
4 10 8 5 7 0 1 6 2 3 9 11 	 True 	 0.000003 	 48 		 9
7 1 5 0 3 10 8 6 9 4 2 11 	 True 	 0.000003 	 41 		 10
0 10 3 9 6 5 4 2 1 7 8 11 	 True 	 0.000001 	 11 		 8
4 2 0 7 9 1 6 5 8 10 3 11 	 True 	 0.000010 	 155 		 10
6 1 0 9 4 2 7 10 5 8 3 11 	 True 	 0.000049 	 546 		 11
